
----------------------------------------------- [START 2025-08-08 11:47:49] ---------------------------------------------------

** 从最佳模型继续训练 **
--------|----------- Train -----------|----------- Test -----------|------ Best Train ------|--------------|
  epoch |   loss   top-1   HTER    AUC    |   loss   top-1   HTER    AUC    |   top-1   HTER    AUC    |    time      |
----------------------------------------------------------------------------------------------------------------|

----------------------------------------------- [START 2025-08-08 11:49:53] ---------------------------------------------------

** 从最佳模型继续训练 **
--------|----------- Train -----------|----------- Test -----------|------ Best Train ------|--------------|
  epoch |   loss   top-1   HTER    AUC    |   loss   top-1   HTER    AUC    |   top-1   HTER    AUC    |    time      |
----------------------------------------------------------------------------------------------------------------|
     112  |  1.278  70.312  33.395  73.608  |  0.739  54.000  46.000  56.880  |  70.312  33.395  73.608  |  0 hr 14 min
     113  |  1.287  59.801  43.586  57.958  |  0.777  48.000  52.000  53.800  |  70.312  33.395  73.608  |  0 hr 14 min
     114  |  1.283  63.210  37.344  67.262  |  0.825  46.000  54.000  49.760  |  70.312  33.395  73.608  |  0 hr 15 min
     115  |  1.269  64.915  38.916  66.851  |  0.767  52.000  48.000  56.280  |  70.312  33.395  73.608  |  0 hr 15 min
     116  |  1.261  68.466  34.222  72.335  |  0.729  58.000  42.000  60.440  |  70.312  33.395  73.608  |  0 hr 16 min
     117  |  1.310  63.352  39.776  64.310  |  0.761  54.000  46.000  57.800  |  70.312  33.395  73.608  |  0 hr 16 min
     118  |  1.271  56.818  45.320  58.745  |  0.737  56.000  44.000  58.640  |  70.312  33.395  73.608  |  0 hr 16 min
     119  |  1.284  63.352  39.212  65.453  |  0.736  56.000  44.000  59.040  |  70.312  33.395  73.608  |  0 hr 17 min
     120  |  1.264  64.631  41.072  63.293  |  0.715  60.000  40.000  61.800  |  70.312  33.395  73.608  |  0 hr 17 min
     121  |  1.277  65.199  39.774  63.194  |  0.754  54.000  46.000  57.600  |  70.312  33.395  73.608  |  0 hr 17 min
     122  |  1.224  65.625  33.950  70.551  |  0.721  58.000  42.000  61.240  |  70.312  33.395  73.608  |  0 hr 18 min
     123  |  1.255  64.489  37.921  66.973  |  0.766  50.000  50.000  56.640  |  70.312  33.395  73.608  |  0 hr 18 min
     124  |  1.271  61.790  41.040  61.617  |  0.770  50.000  50.000  56.480  |  70.312  33.395  73.608  |  0 hr 19 min
     125  |  1.295  61.648  42.469  59.916  |  0.771  50.000  50.000  56.880  |  70.312  33.395  73.608  |  0 hr 19 min
     126  |  1.242  57.955  45.173  56.995  |  0.737  56.000  44.000  59.560  |  70.312  33.395  73.608  |  0 hr 19 min
